序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓后持仓数,平仓后持仓数,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,资金费,资金费次数,平均费率%,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
21,IOTXUSDT,44.7,71.9,57.3,1.255,"$1,684,547","$2,205,164",0.764,0.0000,2026-03-24 07:00,0.005800,2026-03-24,2026-03-24 08:00:00,5,4,2026-03-24 08:00:00,1.89,0.005820,0.34%,2026-03-24,2026-03-24 13:45:00,0.005238,5.75,10.00%,2.0199,,1.8179,3.8379,0.0000,,,1009.97,1006.13,1006.13,1006.13,12817.55,否,中（改成20%）,中（保持20%）,take_profit,-0.2245%,5.0,2019.94,否,,,0.005440,-6.53%,7.56%,0.005360,-7.90%,10.14%,0.005310,,10.14%,15.98%,10.14%,1.37%,,10.0%,1.8927,2.3278,0.8131,,,,
22,ONTUSDT,78.6,1.4,1.4,1.033,"$14,629,290","$14,562,787",1.005,0.0000,2026-03-24 23:00,0.059700,2026-03-25,2026-03-25 00:00:00,5,4,2026-03-25 00:00:00,0.90,0.058500,-2.01%,2026-03-25,2026-03-25 00:40:00,0.066105,0.67,-13.00%,2.0199,,2.2825,4.3025,0.0000,,,-1312.96,-1317.26,-1317.26,-1317.26,11500.28,是,强（2h内默认）,强（保持30%）,stop_loss,-4.0971%,5.0,2019.94,否,,,0.065800,12.48%,0.68%,0.063700,8.89%,0.68%,0.058800,,5.13%,14.87%,0.68%,29.23%,,,0.8957,0.9095,0.9848,,,,
23,AXLUSDT,65.8,106.5,79.8,1.335,"$2,381,774","$3,047,202",0.782,0.0000,2026-03-25 00:00,0.053320,2026-03-25,2026-03-25 01:25:00,3,1,2026-03-25 01:25:00,0.87,0.052650,-1.26%,2026-03-26,2026-03-26 20:05:00,0.046859,42.67,11.00%,2.0288,,1.8056,3.8344,0.0000,,,1115.85,1112.01,1112.01,1112.01,12612.30,是,中（改成20%）,弱（12%）,take_profit,-0.6204%,5.0,2028.81,否,,,0.052600,-0.09%,1.54%,0.051290,-2.58%,3.23%,0.050000,-4.62%,5.64%,12.27%,11.02%,1.35%,,11.0%,0.8748,0.8765,,,,,
24,HIPPOUSDT,66.6,179.0,22.9,7.802,"$1,343,860","$1,912,311",0.703,0.0000,2026-03-25 03:00,0.000609,2026-03-25,2026-03-25 04:00:00,4,3,2026-03-25 04:00:00,2.79,0.000628,3.05%,2026-03-25,2026-03-25 06:10:00,0.000710,2.17,-13.00%,2.0288,,2.2926,4.3214,0.0000,,,-1318.73,-1323.05,-1323.05,-1323.05,11289.25,是,中（推断20%）,中（保持20%）,stop_loss,0.0000%,5.0,2028.81,否,,,0.000669,6.53%,7.64%,0.000636,1.21%,15.61%,0.000607,,15.61%,19.76%,15.61%,6.69%,,,2.7879,3.8008,0.7335,,,,
25,PUMPBTCUSDT,46.6,109.2,98.1,1.113,"$713,945","$828,940",0.861,0.0000,2026-03-25 03:00,0.015900,2026-03-25,2026-03-25 04:00:00,5,2,2026-03-25 04:00:00,3.30,0.015790,-0.69%,2026-03-25,2026-03-25 15:55:00,0.016860,11.92,-6.78%,1.7774,,1.8979,3.6753,0.0000,,,-602.23,-605.91,-605.91,-605.91,10683.34,否,中（改成20%）,中（保持20%）,early_stop_loss_12h,0.0000%,5.0,1777.43,否,,,0.015910,0.76%,3.29%,0.016860,6.78%,3.29%,0.016420,,3.29%,7.16%,3.29%,3.86%,,,3.2974,4.1493,0.7947,,,,
26,SONICUSDT,62.3,4.7,7.7,0.611,"$1,526,079","$1,639,508",0.931,0.0000,2026-03-25 06:00,0.042230,2026-03-25,2026-03-25 07:00:00,5,3,2026-03-25 07:00:00,2.77,0.042290,0.14%,2026-03-28,2026-03-28 01:35:00,0.038061,66.58,10.00%,1.6623,,1.4961,3.1584,0.0000,,,831.15,828.00,828.00,828.00,11511.34,否,中（改成20%）,弱（12%）,take_profit,-0.0848%,5.0,1662.31,否,,,0.042460,0.40%,1.06%,0.042270,-0.05%,2.10%,0.040570,-4.07%,4.30%,10.36%,10.33%,0.85%,,10.0%,2.7693,2.5829,1.0722,,,,
27,HIVEUSDT,86.4,240.4,247.1,0.973,"$886,488","$956,673",0.927,0.0000,2026-03-26 00:00,0.065190,2026-03-26,2026-03-26 01:00:00,4,3,2026-03-26 01:00:00,1.84,0.065470,0.43%,2026-03-27,2026-03-27 04:05:00,0.058923,27.08,10.00%,2.0298,,1.8269,3.8567,0.0000,,,1014.92,1011.06,1011.06,1011.06,12522.40,否,中（改成20%）,弱（12%）,take_profit,-0.9446%,5.0,2029.83,否,,,0.064860,-0.93%,2.63%,0.060510,-7.58%,8.06%,0.060030,-8.31%,9.06%,13.27%,10.00%,1.22%,,10.0%,1.8361,2.1867,0.8397,,,,
28,CARVUSDT,51.8,73.0,145.7,0.501,"$1,045,348","$1,101,671",0.949,0.0000,2026-03-26 00:00,0.057700,2026-03-26,2026-03-26 01:00:00,5,1,2026-03-26 01:00:00,1.98,0.057430,-0.47%,2026-03-29,2026-03-29 00:55:00,0.054370,71.92,5.33%,2.0298,,1.9217,3.9515,0.0000,,,540.77,536.82,536.82,536.82,13059.22,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,2029.83,否,,,0.057340,-0.16%,1.01%,0.055910,-2.65%,3.12%,0.056040,-2.42%,4.46%,7.44%,7.44%,0.57%,,,1.9753,2.0340,0.9711,,,,
29,SUPERUSDT,132.6,2.3,2.1,1.113,"$4,862,703","$5,420,722",0.897,0.0000,2026-03-26 19:00,0.121600,2026-03-26,2026-03-26 20:00:00,5,2,2026-03-26 20:00:00,1.76,0.121900,0.25%,2026-03-27,2026-03-27 17:25:00,0.108491,21.42,11.00%,2.0298,,1.8066,3.8364,0.0000,,,1116.41,1112.57,1112.57,1112.57,14171.79,是,中（改成20%）,弱（12%）,take_profit,-1.8381%,5.0,2029.83,否,,,0.122000,0.08%,1.15%,0.114300,-6.23%,6.89%,0.110000,,11.81%,13.37%,11.48%,2.63%,,11.0%,1.7640,1.6983,1.0387,,,,
30,BLUAIUSDT,35.1,2.7,3.0,0.903,"$8,585,774","$8,135,756",1.055,0.0000,2026-03-26 23:00,0.010031,2026-03-27,2026-03-27 00:00:00,5,4,2026-03-27 00:00:00,0.77,0.010109,0.78%,2026-03-27,2026-03-27 01:10:00,0.008896,1.17,12.00%,2.0298,,1.7863,3.8161,0.0000,,,1217.90,1214.08,1214.08,1214.08,15385.87,否,强（2h内默认）,强（保持30%）,take_profit,-0.1008%,5.0,2029.83,否,,,0.008569,-15.23%,16.83%,0.007908,-21.77%,23.94%,0.006874,,38.10%,51.48%,16.83%,3.46%,,12.0%,0.7724,0.7443,1.0378,,,,
