symbol,signal_id,buy_surge_ratio,signal_time,signal_date,earliest_entry_time,signal_price,target_drop_pct,target_price,wait_deadline_utc,status,entry_time,entry_price,note
STEEMUSDT,STEEMUSDT_202603290000,36.145090397649184,2026-03-29 00:00:00,2026-03-29 00:00,2026-03-29 01:00:00,0.05997,0.0,0.05997,2026-04-03 01:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
SENTUSDT,SENTUSDT_202603291000,37.91135750085192,2026-03-29 10:00:00,2026-03-29 10:00,2026-03-29 11:00:00,0.01814,0.0,0.01814,2026-04-03 11:00:00,entered,2026-03-29 11:05:00,0.018130,触发目标价并建仓（理论0.018140，实际0.018130）
CTKUSDT,CTKUSDT_202603291200,36.57080665330309,2026-03-29 12:00:00,2026-03-29 12:00,2026-03-29 13:00:00,0.1608,0.0,0.1608,2026-04-03 13:00:00,entered,2026-03-29 13:05:00,0.160100,触发目标价并建仓（理论0.160800，实际0.160100）
DUSDT,DUSDT_202603291300,137.98969166798025,2026-03-29 13:00:00,2026-03-29 13:00,2026-03-29 14:00:00,0.005457,0.0,0.005457,2026-04-03 14:00:00,entered,2026-03-29 14:05:00,0.005371,触发目标价并建仓（理论0.005457，实际0.005371）
FORMUSDT,FORMUSDT_202603300200,47.45501950673878,2026-03-30 02:00:00,2026-03-30 02:00,2026-03-30 03:00:00,0.2353,0.0,0.2353,2026-04-04 03:00:00,entered,2026-03-30 03:05:00,0.236100,触发目标价并建仓（理论0.235300，实际0.236100）
MOVRUSDT,MOVRUSDT_202603311800,31.765451443322313,2026-03-31 18:00:00,2026-03-31 18:00,2026-03-31 19:00:00,1.326,0.0,1.326,2026-04-05 19:00:00,entered,2026-03-31 19:05:00,1.309000,触发目标价并建仓（理论1.326000，实际1.309000）
MINAUSDT,MINAUSDT_202604010000,40.88757858761526,2026-04-01 00:00:00,2026-04-01 00:00,2026-04-01 01:00:00,0.05614,0.0,0.05614,2026-04-06 01:00:00,entered,2026-04-01 01:05:00,0.058210,触发目标价并建仓（理论0.056140，实际0.058210）
CLOUSDT,CLOUSDT_202604011200,38.67694845050068,2026-04-01 12:00:00,2026-04-01 12:00,2026-04-01 13:00:00,0.07556,0.0,0.07556,2026-04-06 13:00:00,entered,2026-04-01 13:05:00,0.076710,触发目标价并建仓（理论0.075560，实际0.076710）
DODOXUSDT,DODOXUSDT_202604011300,120.86084477993126,2026-04-01 13:00:00,2026-04-01 13:00,2026-04-01 14:00:00,0.018129,0.0,0.018129,2026-04-06 14:00:00,entered,2026-04-01 14:05:00,0.019257,触发目标价并建仓（理论0.018129，实际0.019257）
JCTUSDT,JCTUSDT_202604011400,43.650726268467274,2026-04-01 14:00:00,2026-04-01 14:00,2026-04-01 15:00:00,0.002186,0.0,0.002186,2026-04-06 15:00:00,entered,2026-04-01 15:05:00,0.002240,触发目标价并建仓（理论0.002186，实际0.002240）
BANKUSDT,BANKUSDT_202604011500,67.70287842002979,2026-04-01 15:00:00,2026-04-01 15:00,2026-04-01 16:00:00,0.04666,0.0,0.04666,2026-04-06 16:00:00,entered,2026-04-01 16:05:00,0.046250,触发目标价并建仓（理论0.046660，实际0.046250）
FIDAUSDT,FIDAUSDT_202604011600,38.079732216881254,2026-04-01 16:00:00,2026-04-01 16:00,2026-04-01 17:00:00,0.01395,0.0,0.01395,2026-04-06 17:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
TAGUSDT,TAGUSDT_202604011700,103.38443228275987,2026-04-01 17:00:00,2026-04-01 17:00,2026-04-01 18:00:00,0.000684,0.0,0.000684,2026-04-06 18:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
USDCUSDT,USDCUSDT_202604012100,32.50672257808889,2026-04-01 21:00:00,2026-04-01 21:00,2026-04-01 22:00:00,0.99953,0.0,0.99953,2026-04-06 22:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
VTHOUSDT,VTHOUSDT_202604020000,170.43262116223875,2026-04-02 00:00:00,2026-04-02 00:00,2026-04-02 01:00:00,0.0005754,0.0,0.0005754,2026-04-07 01:00:00,entered,2026-04-02 01:05:00,0.000563,触发目标价并建仓（理论0.000575，实际0.000563）
FUSDT,FUSDT_202604020000,40.57484748330817,2026-04-02 00:00:00,2026-04-02 00:00,2026-04-02 01:00:00,0.005319,0.0,0.005319,2026-04-07 01:00:00,superseded_stronger_hour,,,被更强卖量信号覆盖(旧40.57x → 新124.84x，新信号UTC 2026-04-07 00:00)
FUNUSDT,FUNUSDT_202604020500,33.786140114340995,2026-04-02 05:00:00,2026-04-02 05:00,2026-04-02 06:00:00,0.001225,0.0,0.001225,2026-04-07 06:00:00,entered,2026-04-02 06:05:00,0.001223,触发目标价并建仓（理论0.001225，实际0.001223）
CTSIUSDT,CTSIUSDT_202604020600,30.94802358265353,2026-04-02 06:00:00,2026-04-02 06:00,2026-04-02 07:00:00,0.0255,0.0,0.0255,2026-04-07 07:00:00,entered,2026-04-02 07:05:00,0.025200,触发目标价并建仓（理论0.025500，实际0.025200）
HEMIUSDT,HEMIUSDT_202604021300,52.89193802644619,2026-04-02 13:00:00,2026-04-02 13:00,2026-04-02 14:00:00,0.009626,0.0,0.009626,2026-04-07 14:00:00,entered,2026-04-02 14:05:00,0.009017,触发目标价并建仓（理论0.009626，实际0.009017）
REZUSDT,REZUSDT_202604021300,51.21100648292104,2026-04-02 13:00:00,2026-04-02 13:00,2026-04-02 14:00:00,0.003602,0.0,0.003602,2026-04-07 14:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
PYTHUSDT,PYTHUSDT_202604021300,36.546368541065654,2026-04-02 13:00:00,2026-04-02 13:00,2026-04-02 14:00:00,0.03882,0.0,0.03882,2026-04-07 14:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
UNIUSDT,UNIUSDT_202604021300,34.014051613745636,2026-04-02 13:00:00,2026-04-02 13:00,2026-04-02 14:00:00,3.132,0.0,3.132,2026-04-07 14:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
