序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,资金费,资金费次数,平均费率%,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
76,FUSDT,31.9,72.8,47.8,1.523,"$1,941,029","$2,080,439",0.933,0.0000,2026-04-11 00:00,0.005268,2026-04-11,2026-04-11 01:00:00,2026-04-11 01:00:00,1.57,0.005263,-0.09%,2026-04-14,2026-04-14 00:55:00,0.005422,71.92,-3.02%,8.4917,,8.7482,17.2399,0.0000,,,-1282.71,-1299.95,-1299.95,-1299.95,61235.55,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,4.0,10614.62,否,,,0.005322,1.12%,0.21%,0.005316,1.01%,0.21%,0.005297,0.65%,0.21%,2.93%,2.93%,1.16%,,,1.5654,1.4975,1.0453,,,,
77,IMXUSDT,48.1,38.1,15.4,2.469,"$2,962,184","$3,340,519",0.887,0.0000,2026-04-13 00:00,0.139900,2026-04-13,2026-04-13 01:00:00,2026-04-13 01:00:00,1.70,0.139500,-0.29%,2026-04-15,2026-04-15 19:00:00,0.161820,66.0,-16.00%,9.4273,,10.9357,20.3631,0.0000,,,-7541.87,-7562.24,-7562.24,-7562.24,53673.31,否,中（改成20%）,弱（12%）,stop_loss,-0.1710%,4.0,11784.18,否,,,0.140500,0.72%,0.57%,0.143200,2.65%,0.57%,0.148400,6.38%,0.57%,0.57%,0.57%,0.93%,,,1.6976,1.7624,0.9632,,,,
78,STABLEUSDT,55.4,53.0,52.7,1.007,"$7,005,380","$9,836,460",0.712,0.0000,2026-04-13 02:00,0.030810,2026-04-13,2026-04-13 03:00:00,2026-04-13 03:00:00,0.60,0.028630,-7.08%,2026-04-13,2026-04-13 16:00:00,0.025481,13.0,11.00%,9.4273,,8.3903,17.8177,0.0000,,,5185.04,5167.22,5167.22,5167.22,58840.53,是,中（改成20%）,弱（12%）,take_profit,0.0000%,4.0,11784.18,否,,,0.028180,-1.57%,8.07%,0.027020,-5.62%,9.47%,0.026940,,12.64%,12.64%,12.64%,7.79%,,11.0%,0.6033,0.6116,0.9864,,,,
79,STABLEUSDT,56.4,53.0,52.7,1.007,"$9,836,460","$8,667,266",1.135,0.0000,2026-04-13 03:00,0.027940,2026-04-13,2026-04-13 04:00:00,2026-04-13 04:00:00,0.74,0.027970,0.11%,2026-04-13,2026-04-13 06:55:00,0.028770,2.92,-2.86%,10.2128,,10.5049,20.7176,0.0000,,,-1460.53,-1481.25,-1481.25,-1481.25,57359.28,否,中（推断20%）,中（保持20%）,early_stop_loss,0.0000%,4.0,12765.95,否,,,0.028520,1.97%,0.57%,0.026270,-6.08%,10.58%,0.027160,,10.58%,10.58%,0.57%,3.58%,,,0.7440,0.6033,1.2332,,,,
80,PUMPBTCUSDT,30.9,50.3,53.0,0.949,"$1,159,697","$1,551,769",0.747,0.0000,2026-04-13 05:00,0.019880,2026-04-13,2026-04-13 06:00:00,2026-04-13 06:00:00,3.65,0.019870,-0.05%,2026-04-13,2026-04-13 07:25:00,0.023049,1.42,-16.00%,9.9876,,11.5856,21.5732,0.0000,,,-7990.09,-8011.66,-8011.66,-8011.66,49347.62,是,强（2h内默认）,强（保持30%）,stop_loss,0.2462%,4.0,12484.51,否,,,0.023440,17.97%,3.47%,0.021010,5.74%,3.47%,0.023220,,3.47%,4.38%,3.47%,25.21%,,,3.6512,4.6561,0.7842,,,,
81,WETUSDT,48.6,14.4,11.7,1.235,"$2,948,482","$5,783,312",0.510,0.0000,2026-04-13 09:00,0.147700,2026-04-13,2026-04-13 10:00:00,2026-04-13 10:00:00,1.56,0.154670,4.72%,2026-04-13,2026-04-13 13:05:00,0.137656,3.08,11.00%,8.7698,,7.8052,16.5750,0.0000,,,4823.41,4806.84,4806.84,4806.84,54154.46,是,中（改成20%）,中（保持20%）,take_profit,-0.7216%,4.0,10962.30,否,,,0.149770,-3.17%,8.90%,0.155550,0.57%,13.14%,0.147660,,13.14%,26.46%,13.14%,9.90%,,11.0%,1.5615,1.9568,0.7980,,,,
82,ONUSDT,57.3,2.9,2.8,1.035,"$5,397,830","$6,226,323",0.867,0.0000,2026-04-13 23:00,0.167300,2026-04-14,2026-04-14 00:00:00,2026-04-14 00:00:00,1.40,0.181850,8.70%,2026-04-14,2026-04-14 00:45:00,0.160028,0.75,12.00%,9.3809,,8.2552,17.6362,0.0000,,,5628.56,5610.93,5610.93,5610.93,59765.38,是,强（2h内默认）,强（保持30%）,take_profit,0.0100%,4.0,11726.17,否,,,0.150370,-17.31%,23.01%,0.142090,-21.86%,26.68%,0.135610,,38.66%,38.66%,19.95%,6.68%,,,1.4015,1.3815,1.0145,,,,
83,INUSDT,54.2,37.7,38.5,0.980,"$1,592,503","$1,802,613",0.883,0.0000,2026-04-14 00:00,0.064910,2026-04-14,2026-04-14 01:00:00,2026-04-14 01:00:00,2.13,0.064620,-0.45%,2026-04-14,2026-04-14 18:50:00,0.074959,17.83,-16.00%,10.2338,,11.8712,22.1050,0.0000,,,-8187.04,-8209.14,-8209.14,-8209.14,51556.24,是,中（改成20%）,弱（12%）,stop_loss,0.0000%,4.0,12792.25,否,,,0.063620,-1.55%,3.10%,0.065930,2.03%,6.50%,0.078670,,6.50%,6.50%,6.50%,1.55%,,,2.1260,2.0057,1.0600,,,,
84,ORDERUSDT,42.5,43.3,52.3,0.828,"$1,566,005","$1,651,030",0.949,0.0000,2026-04-14 00:00,0.060820,2026-04-14,2026-04-14 01:00:00,2026-04-14 01:00:00,2.14,0.061820,1.64%,2026-04-17,2026-04-17 00:55:00,0.062400,71.92,-0.94%,8.9860,,9.0703,18.0563,0.0000,,,-421.54,-439.59,-439.59,-439.59,51116.65,否,中（改成20%）,弱（12%）,max_hold_time,-0.1562%,4.0,11232.51,否,,,0.061670,-0.24%,2.67%,0.060800,-1.65%,4.85%,0.062870,1.70%,4.85%,4.85%,4.85%,0.61%,,,2.1447,2.0544,1.0440,,,,
85,BROCCOLI714USDT,40.7,4.7,5.5,0.856,"$4,127,399","$4,009,146",1.029,0.0000,2026-04-13 23:00,0.017380,2026-04-14,2026-04-14 00:00:00,2026-04-14 00:00:00,2.55,0.017240,-0.81%,2026-04-14,2026-04-14 06:40:00,0.015344,6.67,11.00%,8.9860,,7.9975,16.9836,0.0000,,,4942.30,4925.32,4925.32,4925.32,56041.97,是,中（改成20%）,中（保持20%）,take_profit,-0.0828%,4.0,11232.51,否,,,0.016610,-3.65%,4.99%,0.016140,-6.38%,14.10%,0.015910,,14.10%,14.10%,11.19%,4.76%,,11.0%,2.5461,2.5855,0.9848,,,,
86,MLNUSDT,52.8,70.3,153.6,0.457,"$1,068,817","$1,163,475",0.919,0.0000,2026-04-14 02:00,3.140000,2026-04-14,2026-04-14 03:00:00,2026-04-14 03:00:00,3.28,3.130000,-0.32%,2026-04-17,2026-04-17 02:55:00,3.099000,71.92,0.99%,9.7347,,9.6382,19.3729,0.0000,,,482.07,462.69,462.69,462.69,56504.66,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,4.0,12168.32,否,,,2.992000,-4.41%,5.27%,3.061000,-2.20%,5.27%,3.088000,-1.34%,5.27%,5.27%,5.27%,0.89%,,,3.2827,3.7596,0.8732,,,,
87,IOSTUSDT,75.0,29.1,94.5,0.308,"$1,251,441","$1,586,157",0.789,0.0000,2026-04-15 00:00,0.001184,2026-04-15,2026-04-15 01:00:00,2026-04-15 01:00:00,2.63,0.001167,-1.44%,2026-04-18,2026-04-18 00:55:00,0.001151,71.92,1.37%,8.5852,,8.4675,17.0527,0.0000,,,588.53,571.48,571.48,571.48,57076.14,是,中（改成20%）,弱（12%）,max_hold_time,-0.6271%,4.0,10731.50,否,,,0.001189,1.89%,1.97%,0.001098,-5.91%,7.28%,0.001113,-4.63%,7.28%,7.28%,7.28%,2.83%,,,2.6311,3.1771,0.8281,,,,
88,APRUSDT,42.8,3.1,3.7,0.857,"$16,805,271","$17,284,539",0.972,0.0000,2026-04-14 23:00,0.325570,2026-04-15,2026-04-15 00:00:00,2026-04-15 00:00:00,1.30,0.339190,4.18%,2026-04-15,2026-04-15 00:40:00,0.298487,0.67,12.00%,8.5852,,7.5550,16.1402,0.0000,,,5151.12,5134.98,5134.98,5134.98,62211.12,是,强（2h内默认）,强（保持30%）,take_profit,0.2038%,4.0,10731.50,否,,,0.318990,-5.96%,13.47%,0.231360,-31.79%,33.88%,0.235610,,35.93%,56.99%,13.47%,6.10%,,,1.2962,1.3111,0.9886,,,,
89,XANUSDT,34.8,5.8,6.6,0.883,"$1,853,979","$2,181,562",0.850,0.0000,2026-04-14 23:00,0.011173,2026-04-15,2026-04-15 00:00:00,2026-04-15 00:00:00,1.83,0.011116,-0.51%,2026-04-15,2026-04-15 07:15:00,0.009893,7.25,11.00%,9.3657,,8.3355,17.7012,0.0000,,,5151.14,5133.44,5133.44,5133.44,67344.56,否,中（改成20%）,中（保持20%）,take_profit,0.0000%,4.0,11707.14,否,,,0.010924,-1.73%,3.63%,0.010155,-8.65%,11.80%,0.010172,,14.43%,16.92%,11.26%,6.41%,,11.0%,1.8345,1.8620,0.9852,,,,
90,TRUSTUSDT,31.5,30.8,24.0,1.286,"$1,302,853","$1,751,374",0.744,0.0000,2026-04-15 08:00,0.088870,2026-04-15,2026-04-15 09:00:00,2026-04-15 09:00:00,2.78,0.087710,-1.31%,2026-04-16,2026-04-16 00:00:00,0.077185,15.0,12.00%,10.1460,,8.9285,19.0745,0.0000,,,6087.60,6068.52,6068.52,6068.52,73413.09,是,强（保持30%）,强（30%）,take_profit,0.0000%,4.0,12682.50,否,,,0.079120,-9.79%,11.53%,0.080220,-8.54%,11.53%,0.071880,,18.62%,20.48%,16.92%,8.28%,,12.0%,2.7793,3.0469,0.9122,,,,
91,MAVUSDT,58.8,78.1,42.4,1.840,"$1,169,334","$1,702,750",0.687,0.0000,2026-04-15 11:00,0.015240,2026-04-15,2026-04-15 12:00:00,2026-04-15 12:00:00,2.27,0.015130,-0.72%,2026-04-18,2026-04-18 11:55:00,0.016460,71.92,-8.79%,10.1460,,11.0379,21.1839,0.0000,,,-4459.41,-4480.59,-4480.59,-4480.59,68932.49,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,4.0,12682.50,否,,,0.014910,-1.45%,2.64%,0.015500,2.45%,2.64%,0.016180,6.94%,2.64%,2.64%,2.64%,1.26%,,,2.2669,3.0816,0.7356,,,,
92,FUSDT,37.4,78.8,168.5,0.468,"$1,908,363","$2,094,220",0.911,0.0000,2026-04-16 00:00,0.005591,2026-04-16,2026-04-16 01:00:00,2026-04-16 01:00:00,2.15,0.005598,0.13%,2026-04-19,2026-04-19 00:55:00,0.005454,71.92,2.57%,11.0684,,10.7837,21.8521,0.0000,,,1423.59,1401.74,1401.74,1401.74,70334.23,否,中（改成20%）,弱（12%）,max_hold_time,-0.0511%,4.0,13835.52,否,,,0.005637,0.70%,0.36%,0.005657,1.05%,0.39%,0.005705,1.64%,1.38%,3.64%,3.64%,1.11%,,,2.1476,2.2916,0.9372,,,,
93,ZETAUSDT,30.7,71.4,64.5,1.106,"$1,072,670","$1,524,192",0.704,0.0000,2026-04-17 00:00,0.058190,2026-04-17,2026-04-17 01:00:00,2026-04-17 01:00:00,1.95,0.058230,0.07%,2026-04-17,2026-04-17 03:55:00,0.061960,2.92,-6.41%,11.0719,,11.7812,22.8531,0.0000,,,-3546.13,-3568.99,-3568.99,-3568.99,66765.24,否,中（推断20%）,中（保持20%）,early_stop_loss,-0.0020%,4.0,13839.91,否,,,0.062950,8.11%,1.61%,0.065540,12.55%,1.61%,0.057390,,2.70%,9.48%,1.61%,12.28%,,,1.9507,1.9931,0.9787,,,,
94,ZETAUSDT,68.7,71.4,64.5,1.106,"$1,624,141","$2,399,336",0.677,0.0000,2026-04-17 02:00,0.062950,2026-04-17,2026-04-17 03:00:00,2026-04-17 03:00:00,2.12,0.062090,-1.37%,2026-04-18,2026-04-18 10:10:00,0.055881,31.17,10.00%,10.5294,,9.4765,20.0059,0.0000,,,5264.72,5244.71,5244.71,5244.71,72009.95,否,中（改成20%）,弱（12%）,take_profit,-0.7784%,4.0,13161.80,否,,,0.061070,-1.64%,3.48%,0.063990,3.06%,3.78%,0.057550,-7.31%,9.02%,15.11%,11.53%,1.67%,,10.0%,2.1192,2.0193,1.0495,,,,
95,TAKEUSDT,47.3,7.4,5.4,1.365,"$3,681,424","$3,592,673",1.025,0.0000,2026-04-17 04:00,0.040570,2026-04-17,2026-04-17 05:00:00,2026-04-17 05:00:00,2.49,0.042910,5.77%,2026-04-17,2026-04-17 07:55:00,0.042760,2.92,0.35%,10.5294,,10.4926,21.0221,0.0000,,,184.04,163.02,163.02,163.02,72172.97,否,中（推断20%）,中（保持20%）,early_stop_loss,0.2210%,4.0,13161.80,否,,,0.044180,2.96%,11.42%,0.048000,11.86%,14.24%,0.043810,,14.24%,49.83%,11.42%,7.32%,,,2.4941,2.5211,0.9893,,,,
96,SOONUSDT,72.9,216.5,175.2,1.235,"$5,429,994","$9,336,585",0.582,0.0000,2026-04-17 05:00,0.231500,2026-04-17,2026-04-17 06:00:00,2026-04-17 06:00:00,2.65,0.243700,5.27%,2026-04-17,2026-04-17 08:45:00,0.216893,2.75,11.00%,10.5542,,9.3933,19.9475,0.0000,,,5804.82,5784.87,5784.87,5784.87,77957.84,否,中（改成20%）,中（保持20%）,take_profit,-8.2236%,4.0,13192.77,否,,,0.258900,6.24%,8.78%,0.222000,-8.90%,17.11%,0.198500,,21.01%,32.46%,12.60%,8.29%,,11.0%,2.6470,2.1746,1.2172,,,,
97,MOVRUSDT,50.3,90.6,105.9,0.855,"$1,340,788","$4,425,825",0.303,0.0000,2026-04-17 05:00,2.729000,2026-04-17,2026-04-17 06:00:00,2026-04-17 06:00:00,1.40,2.648000,-2.97%,2026-04-17,2026-04-17 06:50:00,3.071680,0.83,-16.00%,11.4335,,13.2629,24.6964,0.0000,,,-9146.81,-9171.51,-9171.51,-9171.51,68786.33,是,强（2h内默认）,强（保持30%）,stop_loss,-0.6595%,4.0,14291.90,否,,,3.867000,46.03%,5.36%,3.348000,26.44%,5.36%,2.445000,,13.90%,31.16%,5.36%,60.27%,,,1.3964,2.7764,0.5030,,,,
98,RAREUSDT,103.5,35.3,33.9,1.040,"$3,419,468","$4,087,366",0.837,0.0000,2026-04-17 23:00,0.023950,2026-04-18,2026-04-18 00:00:00,2026-04-18 00:00:00,1.89,0.023140,-3.38%,2026-04-18,2026-04-18 01:15:00,0.020363,1.25,12.00%,10.2425,,9.0134,19.2558,0.0000,,,6145.48,6126.22,6126.22,6126.22,74912.55,是,强（2h内默认）,强（保持30%）,take_profit,-0.3623%,4.0,12803.07,否,,,0.020240,-12.53%,14.22%,0.017670,-23.64%,24.63%,0.016750,,30.16%,32.80%,14.22%,3.72%,,12.0%,1.8852,1.9931,0.9459,,,,
99,HIGHUSDT,64.0,10.1,9.7,1.042,"$2,505,030","$4,192,616",0.597,0.0000,2026-04-18 00:00,0.174200,2026-04-18,2026-04-18 01:00:00,2026-04-18 01:00:00,2.40,0.172900,-0.75%,2026-04-18,2026-04-18 01:45:00,0.200564,0.75,-16.00%,11.1736,,12.9614,24.1351,0.0000,,,-8938.91,-8963.05,-8963.05,-8963.05,65949.50,是,强（2h内默认）,强（保持30%）,stop_loss,-0.8968%,4.0,13967.05,否,,,0.212700,23.02%,4.80%,0.406300,134.99%,4.80%,0.300600,,4.80%,4.80%,4.80%,42.16%,,,2.4037,3.4543,0.6959,,,,
100,ONTUSDT,42.5,10.5,10.3,1.024,"$14,998,352","$12,686,382",1.182,0.0000,2026-04-18 03:00,0.085000,2026-04-18,2026-04-18 04:00:00,2026-04-18 04:00:00,0.56,0.085400,0.47%,2026-04-18,2026-04-18 21:20:00,0.076860,17.33,10.00%,9.8113,,8.8301,18.6414,0.0000,,,4905.63,4886.99,4886.99,4886.99,70836.49,否,中（改成20%）,弱（12%）,take_profit,-1.1622%,4.0,12264.08,否,,,0.082600,-3.28%,3.75%,0.081300,-4.80%,6.91%,0.077200,,11.24%,13.58%,10.54%,3.04%,,10.0%,0.5605,0.5020,1.1165,,,,
101,我踏马来了USDT,65.2,12.7,12.4,1.017,"$6,371,860","$9,464,627",0.673,0.0000,2026-04-18 04:00,0.015092,2026-04-18,2026-04-18 05:00:00,2026-04-18 05:00:00,3.26,0.015595,3.33%,2026-04-18,2026-04-18 05:20:00,0.018090,0.33,-16.00%,10.5541,,12.2427,22.7968,0.0000,,,-8443.27,-8466.06,-8466.06,-8466.06,62370.43,是,强（2h内默认）,强（保持30%）,stop_loss,0.0000%,4.0,13192.60,否,,,0.017997,15.40%,4.98%,0.012821,-17.79%,24.14%,0.010632,,34.92%,38.63%,4.98%,25.60%,,,3.2626,4.0736,0.8009,,,,
102,PORTALUSDT,76.9,24.9,18.8,1.326,"$2,028,906","$4,245,015",0.478,0.0000,2026-04-18 05:00,0.015010,2026-04-18,2026-04-18 06:00:00,2026-04-18 06:00:00,3.33,0.016360,8.99%,2026-04-18,2026-04-18 06:10:00,0.014397,0.17,12.00%,9.2672,,8.1552,17.4224,0.0000,,,5560.34,5542.92,5542.92,5542.92,67913.35,是,强（2h内默认）,强（保持30%）,take_profit,0.0387%,4.0,11584.05,否,,,0.016160,-1.22%,15.40%,0.011620,-28.97%,31.54%,0.012580,,37.96%,37.96%,15.40%,22.25%,,,3.3290,5.4226,0.6139,,,,
103,PIEVERSEUSDT,99.9,4.2,4.7,0.893,"$12,096,069","$10,765,470",1.124,0.0000,2026-04-18 23:00,0.615500,2026-04-19,2026-04-19 00:00:00,2026-04-19 00:00:00,1.68,0.581600,-5.51%,2026-04-19,2026-04-19 02:55:00,0.677200,2.92,-16.44%,10.3228,,12.0196,22.3425,0.0000,,,-8484.03,-8506.37,-8506.37,-8506.37,59406.98,是,中（推断20%）,中（保持20%）,early_stop_loss,0.0000%,4.0,12903.54,否,,,0.618600,6.36%,2.41%,0.620800,6.74%,2.41%,1.183700,,2.41%,2.41%,2.41%,10.66%,,,1.6846,1.6323,1.0320,,,,
104,MLNUSDT,46.7,38.2,30.2,1.265,"$1,644,657","$1,733,895",0.949,0.0000,2026-04-18 23:00,3.120000,2026-04-19,2026-04-19 00:00:00,2026-04-19 00:00:00,3.05,3.079000,-1.31%,2026-04-19,2026-04-19 21:00:00,2.771100,21.0,10.00%,9.0299,,8.1269,17.1567,0.0000,,,4514.93,4497.77,4497.77,4497.77,63904.75,否,中（改成20%）,弱（12%）,take_profit,0.0000%,4.0,11287.33,否,,,3.054000,-0.81%,2.27%,2.937000,-4.61%,6.72%,2.766000,,12.63%,12.63%,10.26%,2.70%,,10.0%,3.0486,3.3725,0.9040,,,,
105,NXPCUSDT,31.8,134.7,40.7,3.306,"$5,285,287","$5,376,993",0.983,0.0000,2026-04-19 00:00,0.294000,2026-04-19,2026-04-19 01:00:00,2026-04-19 01:00:00,1.23,0.292300,-0.58%,2026-04-22,2026-04-22 00:55:00,0.299800,71.92,-2.57%,9.7135,,9.9628,19.6763,0.0000,,,-1246.18,-1265.85,-1265.85,-1265.85,62638.90,否,中（改成20%）,弱（12%）,max_hold_time,-0.0142%,4.0,12141.90,否,,,0.287000,-1.81%,2.05%,0.289500,-0.96%,2.05%,0.296100,1.30%,2.05%,2.05%,2.05%,1.33%,,,1.2331,1.4777,0.8345,,,,
106,ZROUSDT,45.8,36.1,36.7,0.983,"$24,474,007","$24,961,182",0.980,0.0000,2026-04-19 02:00,1.615000,2026-04-19,2026-04-19 03:00:00,2026-04-19 03:00:00,0.65,1.586300,-1.78%,2026-04-19,2026-04-19 14:55:00,1.665200,11.92,-4.97%,9.7135,,10.1967,19.9102,0.0000,,,-2415.67,-2435.58,-2435.58,-2435.58,60203.31,否,中（改成20%）,中（保持20%）,early_stop_loss_12h,-0.0180%,4.0,12141.90,否,,,1.596300,0.63%,2.21%,1.665200,4.97%,5.21%,1.635200,,5.21%,5.21%,5.21%,4.03%,,,0.6464,0.6770,0.9548,,,,
107,GTCUSDT,41.7,7.7,8.2,0.944,"$1,809,840","$4,167,741",0.434,0.0000,2026-04-19 04:00,0.156200,2026-04-19,2026-04-19 05:00:00,2026-04-19 05:00:00,1.52,0.147550,-5.54%,2026-04-19,2026-04-19 05:30:00,0.129844,0.5,12.00%,9.3433,,8.2221,17.5654,0.0000,,,5605.99,5588.42,5588.42,5588.42,65791.74,否,强（2h内默认）,强（保持30%）,take_profit,0.0000%,4.0,11679.14,否,,,0.121480,-17.67%,20.33%,0.113100,-23.35%,26.80%,0.115800,,26.80%,32.57%,15.82%,12.57%,,,1.5240,2.6643,0.5720,,,,
108,AWEUSDT,53.9,41.1,61.3,0.671,"$3,104,781","$2,738,061",1.134,0.0000,2026-04-20 05:00,0.049420,2026-04-20,2026-04-20 06:00:00,2026-04-20 06:00:00,2.46,0.049530,0.22%,2026-04-23,2026-04-23 01:00:00,0.049990,67.0,-0.93%,10.1928,,10.2874,20.4802,0.0000,,,-473.32,-493.80,-493.80,-493.80,65297.94,否,中（改成20%）,弱（12%）,force_close,0.0000%,4.0,12740.94,否,,,0.049730,0.40%,0.22%,0.050250,1.45%,0.22%,0.049970,0.89%,0.22%,1.11%,1.11%,1.23%,,10.0%,2.4638,2.4734,0.9961,,,,
109,SUPERUSDT,33.1,9.8,8.7,1.118,"$4,072,931","$5,276,138",0.772,0.0000,2026-04-20 06:00,0.138200,2026-04-20,2026-04-20 07:00:00,2026-04-20 07:00:00,1.18,0.140500,1.66%,2026-04-20,2026-04-20 09:55:00,0.142700,2.92,-1.57%,10.1928,,10.3524,20.5451,0.0000,,,-798.01,-818.55,-818.55,-818.55,64479.39,是,中（推断20%）,中（保持20%）,early_stop_loss,-2.6057%,4.0,12740.94,否,,,0.147000,4.63%,2.28%,0.137700,-1.99%,5.55%,0.131600,,7.90%,10.68%,2.28%,9.47%,,,1.1820,1.2635,0.9355,,,,
110,JCTUSDT,31.5,6.6,5.8,1.132,"$3,916,758","$4,005,488",0.978,0.0000,2026-04-20 06:00,0.003086,2026-04-20,2026-04-20 07:00:00,2026-04-20 07:00:00,1.38,0.003094,0.26%,2026-04-20,2026-04-20 16:05:00,0.002754,9.08,11.00%,10.0683,,8.9608,19.0291,0.0000,,,5537.58,5518.55,5518.55,5518.55,69997.94,否,中（改成20%）,中（保持20%）,take_profit,0.1351%,4.0,12585.42,否,,,0.002949,-4.69%,5.98%,0.002697,-12.83%,15.29%,0.002440,,22.01%,25.44%,11.93%,4.01%,,11.0%,1.3798,1.4832,0.9303,,,,
111,SUPERUSDT,59.0,9.8,8.7,1.118,"$5,276,138","$6,888,536",0.766,0.0000,2026-04-20 07:00,0.146700,2026-04-20,2026-04-20 08:00:00,2026-04-20 08:00:00,1.20,0.147200,0.34%,2026-04-21,2026-04-21 02:20:00,0.131008,18.33,11.00%,10.9072,,9.7074,20.6145,0.0000,,,5998.93,5978.32,5978.32,5978.32,75976.26,是,中（改成20%）,弱（12%）,take_profit,-2.9375%,4.0,13633.94,否,,,0.142700,-3.06%,4.82%,0.138200,-6.11%,9.85%,0.131600,,12.09%,14.74%,12.09%,3.26%,,11.0%,1.2012,1.1820,1.0162,,,,
112,SKYAIUSDT,89.8,85.1,51.1,1.665,"$45,109,158","$42,363,399",1.065,0.0000,2026-04-20 08:00,0.159910,2026-04-20,2026-04-20 09:00:00,2026-04-20 09:00:00,0.86,0.162580,1.67%,2026-04-20,2026-04-20 09:10:00,0.143070,0.17,12.00%,10.9072,,9.5983,20.5054,0.0000,,,6544.29,6523.79,6523.79,6523.79,82500.05,否,强（2h内默认）,强（保持30%）,take_profit,0.0000%,4.0,13633.94,否,,,0.174460,7.31%,15.51%,0.159290,-2.02%,15.51%,0.174790,,15.51%,15.51%,15.51%,18.42%,,,0.8591,0.9037,0.9506,,,,
113,EDUUSDT,35.1,9.0,8.1,1.117,"$7,410,056","$8,914,490",0.831,0.0000,2026-04-20 23:00,0.071690,2026-04-21,2026-04-21 00:00:00,2026-04-21 00:00:00,1.45,0.070450,-1.73%,2026-04-21,2026-04-21 00:55:00,0.081722,0.92,-16.00%,12.8075,,14.8567,27.6641,0.0000,,,-10245.98,-10273.64,-10273.64,-10273.64,72226.40,是,强（2h内默认）,强（保持30%）,stop_loss,-0.6397%,4.0,16009.34,否,,,0.079640,13.04%,5.38%,0.055970,-20.55%,21.65%,0.054160,,26.17%,34.21%,5.38%,26.70%,,,1.4462,1.4462,1.0000,,,,
114,UMAUSDT,70.8,24.9,33.0,0.753,"$1,962,245","$2,824,952",0.695,0.0000,2026-04-21 05:00,0.485500,2026-04-21,2026-04-21 06:00:00,2026-04-21 06:00:00,1.88,0.491900,1.32%,2026-04-23,2026-04-23 01:00:00,0.477400,43.0,2.95%,11.2459,,10.9144,22.1603,0.0000,,,1657.50,1635.34,1635.34,1635.34,73861.75,是,中（改成20%）,弱（12%）,force_close,-0.6818%,4.0,14057.35,否,,,0.499500,1.55%,2.46%,0.473700,-3.70%,4.39%,0.487600,-0.87%,6.12%,6.12%,6.12%,9.60%,,11.0%,1.8810,1.8555,1.0137,,,,
115,PTBUSDT,68.3,89.3,124.4,0.718,"$3,462,538","$3,229,030",1.072,0.0000,2026-04-21 05:00,0.000841,2026-04-21,2026-04-21 06:00:00,2026-04-21 06:00:00,3.36,0.000848,0.81%,2026-04-23,2026-04-23 01:00:00,0.000781,43.0,7.83%,11.2459,,10.3649,21.6108,0.0000,,,4404.95,4383.34,4383.34,4383.34,78245.08,否,中（改成20%）,弱（12%）,force_close,0.0000%,4.0,14057.35,否,,,0.000843,-0.53%,6.54%,0.000849,0.13%,6.54%,0.000871,2.78%,6.54%,8.73%,9.14%,4.86%,,10.0%,3.3611,3.5558,0.9452,,,,
116,CHIPUSDT,88.0,62.9,92.7,0.679,"$1,529,670","$3,856,326",0.397,0.0000,2026-04-21 06:00,0.039140,2026-04-21,2026-04-21 07:00:00,2026-04-21 07:00:00,1.13,0.040340,3.07%,2026-04-21,2026-04-21 07:40:00,0.046794,0.67,-16.00%,11.2459,,13.0452,24.2911,0.0000,,,-8996.70,-9020.99,-9020.99,-9020.99,69224.09,是,强（2h内默认）,强（保持30%）,stop_loss,0.0000%,4.0,14057.35,否,,,0.040880,1.34%,3.12%,0.057610,42.81%,3.12%,0.077660,,3.12%,3.12%,3.12%,21.44%,,,1.1304,1.5100,0.7486,,,,
