序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,资金费,资金费次数,平均费率%,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
24,PUMPBTCUSDT,46.6,109.2,98.1,1.113,"$713,945","$828,940",0.861,0.0000,2026-03-25 03:00,0.015900,2026-03-25,2026-03-25 04:00:00,2026-03-25 04:00:00,3.30,0.015790,-0.69%,2026-03-25,2026-03-25 15:55:00,0.016860,11.92,-6.78%,2.7308,,2.9159,5.6467,0.0000,,,-925.27,-930.91,-930.91,-930.91,18608.05,否,中（改成20%）,中（保持20%）,early_stop_loss_12h,0.0000%,4.0,3413.55,否,,,0.015910,0.76%,3.29%,0.016860,6.78%,3.29%,0.016420,,3.29%,7.16%,3.29%,3.86%,,,3.2974,4.1493,0.7947,,,,
25,HIPPOUSDT,61.5,179.0,22.9,7.802,"$1,912,311","$1,929,891",0.991,0.0000,2026-03-25 04:00,0.000592,2026-03-25,2026-03-25 05:00:00,2026-03-25 05:00:00,2.50,0.000622,5.14%,2026-03-25,2026-03-25 06:15:00,0.000721,1.25,-16.00%,2.5893,,3.0036,5.5930,0.0000,,,-2071.47,-2077.06,-2077.06,-2077.06,16530.99,是,强（2h内默认）,强（保持30%）,stop_loss,0.0000%,4.0,3236.67,否,,,0.000579,-6.96%,14.78%,0.000640,2.97%,14.78%,0.000606,,14.78%,18.97%,14.78%,19.65%,,,2.5002,2.7879,0.8968,,,,
26,HIVEUSDT,86.4,240.4,247.1,0.973,"$886,488","$956,673",0.927,0.0000,2026-03-26 00:00,0.065190,2026-03-26,2026-03-26 01:00:00,2026-03-26 01:00:00,1.84,0.065470,0.43%,2026-03-27,2026-03-27 04:05:00,0.058923,27.08,10.00%,2.4884,,2.2395,4.7279,0.0000,,,1244.18,1239.45,1239.45,1239.45,17770.44,否,中（改成20%）,弱（12%）,take_profit,-0.9446%,4.0,3110.45,否,,,0.064860,-0.93%,2.63%,0.060510,-7.58%,8.06%,0.060030,-8.31%,9.06%,13.27%,10.00%,1.22%,,10.0%,1.8361,2.1867,0.8397,,,,
27,CARVUSDT,51.8,73.0,145.7,0.501,"$1,045,348","$1,101,671",0.949,0.0000,2026-03-26 00:00,0.057700,2026-03-26,2026-03-26 01:00:00,2026-03-26 01:00:00,1.98,0.057430,-0.47%,2026-03-29,2026-03-29 00:55:00,0.054370,71.92,5.33%,2.4884,,2.3558,4.8441,0.0000,,,662.93,658.08,658.08,658.08,18428.53,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,4.0,3110.45,否,,,0.057340,-0.16%,1.01%,0.055910,-2.65%,3.12%,0.056040,-2.42%,4.46%,7.44%,7.44%,0.57%,,,1.9753,2.0340,0.9711,,,,
28,SUPERUSDT,247.9,78.8,84.8,0.929,"$5,260,011","$4,948,002",1.063,0.0000,2026-03-26 02:00,0.132500,2026-03-26,2026-03-26 03:00:00,2026-03-26 03:00:00,1.28,0.131800,-0.53%,2026-03-27,2026-03-27 00:20:00,0.117302,21.33,11.00%,2.4884,,2.2146,4.7030,0.0000,,,1368.60,1363.90,1363.90,1363.90,19792.42,是,中（改成20%）,弱（12%）,take_profit,-0.9985%,4.0,3110.45,否,,,0.128300,-2.66%,4.25%,0.119600,-9.26%,9.94%,0.116300,,12.52%,18.44%,11.46%,1.06%,,11.0%,1.2758,1.1739,1.0868,,,,
29,MEMEUSDT,61.7,4.5,3.7,1.209,"$3,604,233","$2,537,225",1.421,0.0000,2026-03-26 06:00,0.000579,2026-03-26,2026-03-26 07:00:00,2026-03-26 07:00:00,2.30,0.000585,0.97%,2026-03-28,2026-03-28 00:00:00,0.000526,41.0,10.00%,2.4884,,2.2395,4.7279,0.0000,,,1244.18,1239.45,1239.45,1239.45,21031.88,否,中（改成20%）,弱（12%）,take_profit,0.0000%,4.0,3110.45,否,,,0.000580,-0.80%,3.13%,0.000564,-3.52%,4.57%,0.000558,-4.53%,4.76%,14.66%,10.42%,1.80%,,10.0%,2.2971,1.9735,1.1640,,,,
30,STGUSDT,37.8,5.1,6.0,0.845,"$11,291,626","$13,972,304",0.808,0.0000,2026-03-27 03:00,0.274500,2026-03-27,2026-03-27 04:00:00,2026-03-27 04:00:00,0.66,0.270700,-1.38%,2026-03-27,2026-03-27 18:25:00,0.240923,14.42,11.00%,2.9084,,2.5885,5.4969,0.0000,,,1599.63,1594.13,1594.13,1594.13,22626.01,是,中（改成20%）,弱（12%）,take_profit,-0.4397%,4.0,3635.52,否,,,0.263100,-2.81%,5.21%,0.256600,-5.21%,6.94%,0.242000,,13.52%,15.37%,12.41%,3.36%,,11.0%,0.6586,0.8653,0.7611,,,,
31,STGUSDT,39.8,5.1,6.0,0.845,"$13,972,304","$13,299,720",1.051,0.0000,2026-03-27 04:00,0.257700,2026-03-27,2026-03-27 05:00:00,2026-03-27 05:00:00,0.69,0.262600,1.90%,2026-03-28,2026-03-28 00:00:00,0.236340,19.0,10.00%,3.1507,,2.8357,5.9864,0.0000,,,1575.36,1569.38,1569.38,1569.38,24195.39,否,中（改成20%）,弱（12%）,take_profit,-0.1027%,4.0,3938.41,否,,,0.262000,-0.23%,3.35%,0.255800,-2.59%,4.07%,0.236200,,10.85%,12.76%,10.21%,2.36%,,10.0%,0.6918,0.6586,1.0504,,,,
32,KNCUSDT,49.8,22.5,44.0,0.511,"$3,334,119","$5,236,662",0.637,0.0000,2026-03-27 06:00,0.184900,2026-03-27,2026-03-27 07:00:00,2026-03-27 07:00:00,0.89,0.184600,-0.16%,2026-03-27,2026-03-27 10:15:00,0.164294,3.25,11.00%,3.1507,,2.8041,5.9549,0.0000,,,1732.90,1726.95,1726.95,1726.95,25922.34,是,中（改成20%）,中（保持20%）,take_profit,-0.6720%,4.0,3938.41,否,,,0.175800,-4.77%,7.31%,0.162700,-11.86%,12.95%,0.152300,,19.77%,25.19%,11.65%,3.85%,,11.0%,0.8939,1.1400,0.7841,,,,
33,KAVAUSDT,38.9,14.7,19.5,0.753,"$1,901,255","$2,665,225",0.713,0.0000,2026-03-27 06:00,0.057300,2026-03-27,2026-03-27 07:00:00,2026-03-27 07:00:00,1.15,0.056500,-1.40%,2026-03-30,2026-03-30 06:55:00,0.053600,71.92,5.13%,3.4132,,3.2380,6.6513,0.0000,,,875.96,869.31,869.31,869.31,26791.64,是,中（改成20%）,弱（12%）,max_hold_time,-1.7757%,4.0,4266.53,否,,,0.055800,-1.24%,4.25%,0.054200,-4.07%,4.96%,0.052000,-7.96%,9.91%,9.91%,9.91%,4.60%,,,1.1473,1.1487,0.9988,,,,
