# moonshot:max_positions=5
序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
21,ONUSDT,76.2,16.4,20.7,0.793,,,,0.2634,2026-03-26 16:00,0.118590,2026-03-26,2026-03-26 17:00:00,2026-03-26 17:00:00,,0.119100,0.43%,2026-03-27,2026-03-27 15:00:00,0.138156,22.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,11860.28,是,中（改成20%）,弱（12%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.120100,0.84%,1.89%,0.119780,0.57%,2.68%,0.203860,,2.68%,32.74%,2.68%,5.79%,,,,,,,,,
22,BLUAIUSDT,35.1,2.7,3.0,0.903,,,,0.2289,2026-03-26 23:00,0.010031,2026-03-27,2026-03-27 00:00:00,2026-03-27 00:00:00,,0.010109,0.78%,2026-03-27,2026-03-27 01:00:00,0.008895920000,1.0,12.00%,0.6000,,0.5280,1.1280,360.00,358.87,358.87,358.87,12219.15,否,强（2h内默认）,强（保持30%）,take_profit,数据缺失,3.0,1000.00,否,,,0.008569,-15.23%,16.83%,0.007908,-21.77%,23.94%,0.006874,,38.10%,51.48%,16.83%,3.46%,,12.0%,,,,,,,
23,STGUSDT,37.8,5.1,6.0,0.845,,,,0.1799,2026-03-27 03:00,0.274500,2026-03-27,2026-03-27 04:00:00,2026-03-27 04:00:00,,0.270700,-1.38%,2026-03-27,2026-03-27 18:00:00,0.240923,14.0,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,12548.02,是,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,0.263100,-2.81%,5.21%,0.256600,-5.21%,6.94%,0.242000,,13.52%,15.37%,12.41%,3.36%,,11.0%,,,,,,,
24,KNCUSDT,49.8,22.5,44.0,0.511,,,,0.2223,2026-03-27 06:00,0.184900,2026-03-27,2026-03-27 07:00:00,2026-03-27 07:00:00,,0.184600,-0.16%,2026-03-27,2026-03-27 10:00:00,0.164294,3.0,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,12876.88,是,中（改成20%）,中（保持20%）,take_profit,数据缺失,3.0,1000.00,否,,,0.175800,-4.77%,7.31%,0.162700,-11.86%,12.95%,0.152300,,19.77%,25.19%,11.65%,3.85%,,11.0%,,,,,,,
25,B3USDT,70.5,82.6,61.9,1.335,,,,0.0316,2026-03-27 09:00,0.000359600000,2026-03-27,2026-03-27 10:00:00,2026-03-27 10:00:00,,0.000358800000,-0.22%,2026-03-27,2026-03-27 10:40:00,0.000416208000,0.67,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,12395.59,是,强（2h内默认）,强（保持30%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.000502,39.83%,1.81%,0.000380,5.77%,2.65%,0.000372,,2.65%,13.55%,1.81%,47.16%,,,,,,,,,
26,LDOUSDT,37.6,15.2,23.5,0.648,,,,0.0332,2026-03-27 15:00,0.286000,2026-03-27,2026-03-27 16:00:00,2026-03-27 16:00:00,,0.285800,-0.07%,2026-03-28,2026-03-28 04:00:00,0.298100,12.0,-4.30%,0.6000,,0.6258,1.2258,-129.11,-130.34,-130.34,-130.34,12265.25,否,中（改成20%）,弱（12%）,early_stop_loss_12h,数据缺失,3.0,1000.00,否,,,0.287500,0.59%,0.94%,0.298100,4.30%,0.94%,0.307200,,0.94%,0.94%,0.94%,1.99%,,,,,,,,,
27,QUSDT,80.7,21.2,23.8,0.892,,,,-0.2020,2026-03-28 00:00,0.013825,2026-03-28,2026-03-28 01:00:00,2026-03-28 01:00:00,,0.013562,-1.90%,2026-03-28,2026-03-28 01:15:00,0.011935,0.25,12.00%,0.6000,,0.5280,1.1280,360.00,358.87,358.87,358.87,12624.12,是,强（2h内默认）,强（保持30%）,take_profit,数据缺失,3.0,1000.00,否,,,0.008373,-38.26%,65.89%,0.008639,-36.30%,65.89%,0.009276,,65.89%,65.89%,65.89%,3.05%,,,,,,,,,
28,NOMUSDT,40.4,11.1,13.5,0.821,,,,0.1158,2026-03-28 11:00,0.002349000000,2026-03-28,2026-03-28 12:00:00,2026-03-28 12:00:00,,0.002290000000,-2.51%,2026-03-28,2026-03-28 16:00:00,0.002656400000,4.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,12142.82,是,中（改成20%）,中（保持20%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.002408,5.15%,3.80%,0.003099,35.33%,3.80%,0.002669,,3.80%,3.80%,3.80%,11.27%,,,,,,,,,
29,PTBUSDT,41.6,3.7,3.3,1.136,,,,0.0718,2026-03-28 12:00,0.001313000000,2026-03-28,2026-03-28 13:00:00,2026-03-28 13:00:00,,0.001213000000,-7.62%,2026-03-28,2026-03-28 13:55:00,0.001407080000,0.92,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,11661.53,是,强（2h内默认）,强（保持30%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.001308,7.83%,6.60%,0.001249,2.97%,6.60%,0.001140,,7.67%,20.69%,6.60%,21.35%,,,,,,,,,
30,HEMIUSDT,39.3,9.2,10.6,0.865,,,,0.1048,2026-03-28 17:00,0.006367000000,2026-03-28,2026-03-28 18:00:00,2026-03-28 18:00:00,,0.006227000000,-2.20%,2026-03-31,2026-03-31 18:00:00,0.005955000000,72.0,4.37%,0.6000,,0.5738,1.1738,131.04,129.87,129.87,129.87,11791.40,是,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.006019,-3.34%,4.61%,0.006339,1.80%,6.52%,0.005853,-6.01%,7.61%,10.87%,10.87%,2.57%,,,,,,,,,
