# moonshot:max_positions=5
序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
89,ATUSDT,72.3,6.2,9.0,0.689,,,,0.2071,2026-04-16 10:00,0.166240,2026-04-16,2026-04-16 11:00:00,2026-04-16 11:00:00,,0.165820,-0.25%,2026-04-19,2026-04-19 11:00:00,0.164190,72.0,0.98%,0.6000,,0.5941,1.1941,29.49,28.30,28.30,28.30,8351.66,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.166450,0.38%,0.50%,0.165480,-0.21%,1.23%,0.166260,0.27%,1.23%,2.24%,2.24%,1.19%,,,,,,,,,
90,SQDUSDT,264.8,7.2,4.2,1.730,,,,0.0335,2026-04-17 00:00,0.033750,2026-04-17,2026-04-17 01:00:00,2026-04-17 01:00:00,,0.034210,1.36%,2026-04-18,2026-04-18 17:00:00,0.039684,40.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,7870.36,是,中（改成20%）,弱（12%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.034060,-0.44%,1.61%,0.033860,-1.02%,3.22%,0.034080,-0.99%,3.22%,6.81%,3.22%,1.17%,,,,,,,,,
91,LITUSDT,123.2,5.8,5.8,0.987,,,,0.0681,2026-04-17 05:00,1.002000,2026-04-17,2026-04-17 06:00:00,2026-04-17 06:00:00,,1.000800,-0.12%,2026-04-19,2026-04-19 17:00:00,0.890712,59.0,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,8199.23,是,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,1.017600,1.68%,0.08%,1.035500,3.47%,0.08%,1.040900,4.01%,0.08%,11.64%,11.19%,2.92%,,11.0%,,,,,,,
92,COLLECTUSDT,77.4,2.5,2.7,0.936,,,,-0.1584,2026-04-17 08:00,0.034580,2026-04-17,2026-04-17 09:00:00,2026-04-17 09:00:00,,0.035660,3.12%,2026-04-20,2026-04-20 09:00:00,0.038080,72.0,-6.79%,0.6000,,0.6407,1.2407,-203.59,-204.83,-204.83,-204.83,7994.40,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.035760,0.28%,1.74%,0.035170,-1.37%,5.02%,0.035890,0.48%,5.02%,8.86%,8.86%,0.95%,,,,,,,,,
93,SKLUSDT,289.1,18.5,18.1,1.021,,,,-0.1571,2026-04-18 00:00,0.007800000000,2026-04-18,2026-04-18 01:00:00,2026-04-18 01:00:00,,0.007850000000,0.64%,2026-04-18,2026-04-18 18:00:00,0.006986500000,17.0,11.00%,0.6000,,0.5340,1.1340,330.00,328.87,328.87,328.87,8323.26,是,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,0.007680,-2.17%,3.18%,0.007160,-8.79%,9.81%,0.006860,,13.12%,15.54%,11.21%,1.53%,,11.0%,,,,,,,
94,UAIUSDT,44.2,5.9,4.2,1.401,,,,-0.0109,2026-04-18 16:00,0.210700,2026-04-18,2026-04-18 17:00:00,2026-04-18 17:00:00,,0.209900,-0.38%,2026-04-20,2026-04-20 13:00:00,0.243484,44.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,7841.97,是,中（改成20%）,弱（12%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.204400,-2.62%,3.48%,0.206800,-1.48%,4.14%,0.208800,-0.52%,4.14%,4.14%,4.14%,0.43%,,,,,,,,,
95,CHIPUSDT,52.7,3.2,2.7,1.186,,,,-0.0344,2026-04-18 17:00,0.031390,2026-04-18,2026-04-18 18:00:00,2026-04-18 18:00:00,,0.031740,1.12%,2026-04-18,2026-04-18 22:00:00,0.036818,4.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,7360.67,否,中（改成20%）,中（保持20%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.031950,0.66%,3.69%,0.036680,15.56%,3.69%,0.035700,,3.69%,4.95%,3.69%,2.90%,,,,,,,,,
96,CROSSUSDT,38.3,5.6,4.9,1.152,,,,-0.0264,2026-04-14 12:00,0.075630,2026-04-14,2026-04-14 13:00:00,2026-04-14 13:00:00,,0.075820,0.25%,2026-04-17,2026-04-17 13:00:00,0.083400,72.0,-10.00%,0.6000,,0.6600,1.2600,-299.92,-301.18,-301.18,-301.18,7059.49,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.074540,-1.69%,3.51%,0.074820,-1.32%,5.54%,0.073060,-3.61%,5.54%,5.62%,5.62%,2.27%,,,,,,,,,
97,OPUSDT,41.2,4.9,3.5,1.405,,,,-0.0743,2026-04-18 22:00,0.126500,2026-04-18,2026-04-18 23:00:00,2026-04-18 23:00:00,,0.126400,-0.08%,2026-04-21,2026-04-21 23:00:00,0.123100,72.0,2.61%,0.6000,,0.5843,1.1843,78.32,77.14,77.14,77.14,7136.63,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.125100,-1.03%,1.74%,0.123200,-2.53%,3.09%,0.120900,-4.35%,5.06%,5.22%,5.22%,0.32%,,,,,,,,,
98,KMNOUSDT,61.3,3.9,3.4,1.142,,,,-0.3020,2026-04-19 10:00,0.021020,2026-04-19,2026-04-19 11:00:00,2026-04-19 11:00:00,,0.021040,0.10%,2026-04-21,2026-04-21 23:00:00,0.019200,60.0,8.75%,0.6000,,0.5475,1.1475,262.36,261.21,261.21,261.21,7397.84,否,中（改成20%）,弱（12%）,force_close,数据缺失,3.0,1000.00,否,,,0.021160,0.57%,0.19%,0.020320,-3.42%,3.94%,0.020750,-1.38%,4.52%,9.60%,9.60%,0.71%,,10.0%,,,,,,,
99,PNUTUSDT,57.3,2.8,3.2,0.891,,,,0.0953,2026-04-19 16:00,0.056280,2026-04-19,2026-04-19 17:00:00,2026-04-19 17:00:00,,0.056270,-0.02%,2026-04-20,2026-04-20 08:00:00,0.065273,15.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,6916.54,否,中（改成20%）,弱（12%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.057420,2.04%,0.94%,0.056860,1.05%,3.27%,0.056840,,3.27%,3.27%,3.27%,3.47%,,,,,,,,,
100,REZUSDT,90.8,28.6,10.6,2.688,,,,-0.0450,2026-04-20 07:00,0.003860000000,2026-04-20,2026-04-20 08:00:00,2026-04-20 08:00:00,,0.003842000000,-0.47%,2026-04-21,2026-04-21 23:00:00,0.003709000000,39.0,3.46%,0.6000,,0.5792,1.1792,103.85,102.67,102.67,102.67,7019.22,是,中（改成20%）,弱（12%）,force_close,数据缺失,3.0,1000.00,否,,,0.003836,-0.16%,1.67%,0.003752,-2.34%,3.44%,0.003745,-2.52%,3.44%,5.70%,5.70%,0.70%,,11.0%,,,,,,,
101,PNUTUSDT,115.6,10.1,8.9,1.131,,,,0.1159,2026-04-20 08:00,0.059750,2026-04-20,2026-04-20 09:00:00,2026-04-20 09:00:00,,0.059130,-1.04%,2026-04-21,2026-04-21 23:00:00,0.056680,38.0,4.14%,0.6000,,0.5751,1.1751,124.30,123.13,123.13,123.13,7142.34,是,中（改成20%）,弱（12%）,force_close,数据缺失,3.0,1000.00,否,,,0.058330,-1.35%,3.15%,0.057990,-1.93%,4.09%,0.055840,-5.56%,6.07%,11.38%,7.68%,2.38%,,11.0%,,,,,,,
102,UAIUSDT,83.4,10.2,6.5,1.559,,,,-0.1683,2026-04-20 12:00,0.233100,2026-04-20,2026-04-20 13:00:00,2026-04-20 13:00:00,,0.234600,0.64%,2026-04-20,2026-04-20 15:00:00,0.272136,2.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,6661.05,是,中（改成20%）,中（保持20%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.264000,12.53%,2.34%,0.304600,29.84%,2.34%,0.370300,,2.34%,2.34%,2.34%,13.30%,,,,,,,,,
103,ACHUSDT,43.5,3.8,3.1,1.218,,,,-0.0342,2026-04-20 14:00,0.006368000000,2026-04-20,2026-04-20 15:00:00,2026-04-20 15:00:00,,0.006354000000,-0.22%,2026-04-21,2026-04-21 23:00:00,0.006246000000,32.0,1.70%,0.6000,,0.5898,1.1898,50.99,49.80,49.80,49.80,6710.85,是,中（改成20%）,弱（12%）,force_close,数据缺失,3.0,1000.00,否,,,0.006339,-0.24%,0.46%,0.006367,0.20%,0.63%,0.006311,-0.68%,1.97%,4.52%,3.31%,1.43%,,11.0%,,,,,,,
