序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓后持仓数,平仓后持仓数,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,资金费,资金费次数,平均费率%,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
40,VANAUSDT,82.8,73.8,62.3,1.185,"$1,863,431","$2,687,278",0.693,0.0000,2026-03-29 00:00,1.283000,2026-03-29,2026-03-29 01:00:00,4,3,2026-03-29 01:00:00,1.26,1.295000,0.94%,2026-04-01,2026-04-01 00:55:00,1.247000,71.92,3.71%,4.0616,,3.9110,7.9726,0.0000,,,752.73,744.75,744.75,744.75,23685.71,否,中（改成20%）,弱（12%）,max_hold_time,-1.3938%,5.0,4061.59,否,,,1.314000,1.47%,1.78%,1.234000,-4.71%,5.25%,1.219000,-5.87%,7.72%,7.72%,7.72%,2.70%,,,1.2635,1.2416,1.0176,,,,
41,NOMUSDT,41.7,2.3,2.4,0.964,"$7,739,012","$8,384,525",0.923,0.0000,2026-03-28 23:00,0.003099,2026-03-29,2026-03-29 00:00:00,5,4,2026-03-29 00:00:00,0.91,0.003140,1.32%,2026-03-29,2026-03-29 02:45:00,0.002795,2.75,11.00%,4.0616,,3.6148,7.6764,0.0000,,,2233.87,2226.20,2226.20,2226.20,25911.91,是,中（改成20%）,中（保持20%）,take_profit,-0.8843%,5.0,4061.59,否,,,0.003012,-4.08%,8.38%,0.002669,-15.00%,19.11%,0.002591,,28.47%,28.47%,13.79%,3.92%,,11.0%,0.9062,0.9298,0.9746,,,,
42,我踏马来了USDT,130.9,65.3,49.2,1.327,"$3,761,666","$4,078,473",0.922,0.0000,2026-03-29 07:00,0.007760,2026-03-29,2026-03-29 08:00:00,5,2,2026-03-29 08:00:00,2.02,0.007788,0.36%,2026-04-01,2026-04-01 07:55:00,0.007399,71.92,4.99%,4.4846,,4.2606,8.7451,0.0000,,,1119.99,1111.25,1111.25,1111.25,27023.15,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,4484.57,否,,,0.007764,-0.31%,2.14%,0.007620,-2.16%,4.67%,0.007886,1.26%,4.67%,6.74%,6.74%,2.45%,,,2.0221,2.0021,1.0100,,,,
43,API3USDT,43.9,27.0,22.7,1.192,"$2,201,934","$2,286,550",0.963,0.0000,2026-03-30 00:00,0.262800,2026-03-30,2026-03-30 01:00:00,5,4,2026-03-30 01:00:00,1.20,0.263600,0.30%,2026-04-02,2026-04-02 00:55:00,0.273500,71.92,-3.76%,4.6398,,4.8140,9.4538,0.0000,,,-871.28,-880.73,-880.73,-880.73,26142.42,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,4639.76,否,,,0.266700,1.18%,0.30%,0.272200,3.26%,0.30%,0.265400,0.68%,0.30%,0.46%,0.46%,1.48%,,,1.2012,1.2095,0.9931,,,,
44,YGGUSDT,118.6,130.1,172.6,0.754,"$2,064,145","$2,745,125",0.752,0.0000,2026-03-31 00:00,0.035580,2026-03-31,2026-03-31 01:00:00,5,4,2026-03-31 01:00:00,0.84,0.035770,0.53%,2026-04-03,2026-04-03 00:55:00,0.033980,71.92,5.00%,4.8253,,4.5839,9.4092,0.0000,,,1207.35,1197.94,1197.94,1197.94,27340.36,否,中（改成20%）,弱（12%）,max_hold_time,-0.0479%,5.0,4825.34,否,,,0.035150,-1.73%,2.43%,0.034920,-2.38%,3.89%,0.035000,-2.15%,5.09%,6.60%,6.60%,0.20%,,,0.8389,0.8847,0.9482,,,,
45,GUSDT,76.0,191.4,140.5,1.362,"$1,708,180","$2,863,268",0.597,0.0000,2026-03-31 00:00,0.003847,2026-03-31,2026-03-31 01:00:00,3,2,2026-03-31 01:00:00,0.86,0.003835,-0.31%,2026-03-31,2026-03-31 03:00:00,0.004030,2.0,-5.08%,5.1344,,5.3955,10.5299,0.0000,,,-1305.36,-1315.89,-1315.89,-1315.89,26024.48,是,中（推断20%）,中（保持20%）,early_stop_loss,-3.0659%,5.0,5134.40,否,,,0.004006,4.46%,1.25%,0.003984,3.89%,1.25%,0.004004,,1.25%,7.20%,1.25%,10.27%,,,0.8643,0.8060,1.0723,,,,
46,ELSAUSDT,41.4,60.0,43.1,1.393,"$655,913","$791,551",0.829,0.0000,2026-03-30 00:00,0.063540,2026-03-30,2026-03-30 01:00:00,3,3,2026-03-30 01:00:00,2.04,0.063690,0.24%,2026-04-02,2026-04-02 00:55:00,0.062990,71.92,1.10%,4.8844,,4.8307,9.7151,0.0000,,,268.41,258.70,258.70,258.70,26283.18,否,中（改成20%）,弱（12%）,max_hold_time,-0.2543%,5.0,4884.38,否,,,0.063480,-0.33%,3.31%,0.062220,-2.31%,3.67%,0.064350,1.04%,5.37%,5.37%,5.37%,1.22%,,,2.0367,2.3841,0.8543,,,,
47,MINAUSDT,40.9,50.6,105.4,0.480,"$1,750,190","$2,340,529",0.748,0.0000,2026-04-01 00:00,0.056140,2026-04-01,2026-04-01 01:00:00,4,4,2026-04-01 01:00:00,1.19,0.058210,3.69%,2026-04-04,2026-04-04 00:55:00,0.056180,71.92,3.49%,4.8844,,4.7140,9.5984,0.0000,,,851.68,842.08,842.08,842.08,27125.26,是,中（改成20%）,弱（12%）,max_hold_time,-0.8857%,5.0,4884.38,否,,,0.058690,0.82%,4.29%,0.058550,0.58%,4.29%,0.058660,0.77%,4.29%,6.03%,6.03%,1.92%,,,1.1896,1.2640,0.9411,,,,
48,BLURUSDT,75.9,716.2,899.0,0.797,"$3,090,241","$3,217,509",0.960,0.0000,2026-04-01 01:00,0.019340,2026-04-01,2026-04-01 02:00:00,5,4,2026-04-01 02:00:00,1.66,0.019460,0.62%,2026-04-01,2026-04-01 04:00:00,0.020070,2.0,-3.13%,4.8844,,5.0375,9.9219,0.0000,,,-765.54,-775.46,-775.46,-775.46,26349.80,是,中（推断20%）,中（保持20%）,early_stop_loss,-3.4733%,5.0,4884.38,否,,,0.019950,2.52%,0.98%,0.024120,23.95%,0.98%,0.021470,,0.98%,1.49%,0.98%,3.85%,,,1.6567,1.7647,0.9388,,,,
49,LQTYUSDT,92.1,149.1,209.2,0.713,"$1,032,583","$1,264,827",0.816,0.0000,2026-04-01 06:00,0.280100,2026-04-01,2026-04-01 07:00:00,5,3,2026-04-01 07:00:00,1.95,0.282900,1.00%,2026-04-04,2026-04-04 06:55:00,0.270400,71.92,4.42%,4.7370,,4.5277,9.2648,0.0000,,,1046.54,1037.27,1037.27,1037.27,27387.07,否,中（改成20%）,弱（12%）,max_hold_time,-0.3026%,5.0,4737.04,否,,,0.285500,0.92%,1.27%,0.277200,-2.01%,3.46%,0.270300,-4.45%,6.12%,6.12%,6.12%,1.38%,,,1.9507,2.1085,0.9252,,,,
50,VTHOUSDT,170.4,386.8,295.1,1.311,"$1,094,163","$1,636,386",0.669,0.0000,2026-04-02 00:00,0.000575,2026-04-02,2026-04-02 01:00:00,4,4,2026-04-02 01:00:00,1.43,0.000563,-2.21%,2026-04-05,2026-04-05 00:55:00,0.000540,71.92,4.07%,4.6189,,4.4309,9.0497,0.0000,,,939.86,930.81,930.81,930.81,28317.88,是,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,4618.86,否,,,0.000556,-1.16%,2.83%,0.000544,-3.25%,3.87%,0.000532,-5.40%,6.34%,6.34%,6.34%,2.26%,,,1.4278,1.7933,0.7962,,,,
51,FUSDT,40.6,69.7,73.4,0.950,"$1,612,788","$1,787,764",0.902,0.0000,2026-04-02 00:00,0.005319,2026-04-02,2026-04-02 01:00:00,5,3,2026-04-02 01:00:00,1.32,0.005304,-0.28%,2026-04-05,2026-04-05 00:55:00,0.004899,71.92,7.64%,4.6189,,4.2662,8.8850,0.0000,,,1763.42,1754.54,1754.54,1754.54,30072.42,否,中（改成20%）,弱（12%）,max_hold_time,-0.0994%,5.0,4618.86,否,,,0.005056,-4.68%,5.49%,0.004945,-6.77%,6.99%,0.004900,-7.62%,8.48%,8.48%,8.48%,0.94%,,,1.3229,1.3397,0.9875,,,,
52,CHRUSDT,30.4,5.0,5.4,0.931,"$2,407,232","$3,026,676",0.795,0.0000,2026-04-03 02:00,0.019900,2026-04-03,2026-04-03 03:00:00,5,4,2026-04-03 03:00:00,2.41,0.020200,1.51%,2026-04-03,2026-04-03 07:20:00,0.017978,4.33,11.00%,4.8465,,4.3134,9.1598,0.0000,,,2665.56,2656.40,2656.40,2656.40,32728.82,否,中（改成20%）,中（保持20%）,take_profit,0.0000%,5.0,4846.47,否,,,0.018300,-9.41%,10.40%,0.019000,-5.94%,12.38%,0.018400,,15.35%,15.35%,12.38%,3.47%,,11.0%,2.4060,2.4518,0.9813,,,,
53,ONGUSDT,34.5,16.9,24.3,0.693,"$3,141,830","$4,197,555",0.748,0.0000,2026-04-03 06:00,0.089910,2026-04-03,2026-04-03 07:00:00,5,4,2026-04-03 07:00:00,0.88,0.088150,-1.96%,2026-04-03,2026-04-03 09:00:00,0.092590,2.0,-5.04%,5.3512,,5.6207,10.9719,0.0000,,,-1347.66,-1358.63,-1358.63,-1358.63,31370.18,是,中（推断20%）,中（保持20%）,early_stop_loss,0.0000%,5.0,5351.18,否,,,0.092500,4.93%,5.00%,0.094440,7.14%,5.00%,0.107400,,5.00%,5.00%,5.00%,8.51%,,,0.8755,0.9139,0.9580,,,,
54,1000000BOBUSDT,57.7,39.0,65.1,0.599,"$619,204","$812,640",0.762,0.0000,2026-04-03 07:00,0.012020,2026-04-03,2026-04-03 08:00:00,5,4,2026-04-03 08:00:00,4.40,0.011860,-1.33%,2026-04-06,2026-04-06 07:55:00,0.011720,71.92,1.18%,5.0930,,5.0329,10.1260,0.0000,,,300.60,290.48,290.48,290.48,31660.66,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,5093.04,否,,,0.011730,-1.10%,2.28%,0.011220,-5.40%,7.93%,0.011120,-6.24%,9.87%,9.87%,9.87%,1.60%,,,4.3996,4.9277,0.8928,,,,
55,POLYXUSDT,88.6,148.5,140.4,1.058,"$1,815,812","$3,529,692",0.514,0.0000,2026-04-04 00:00,0.052120,2026-04-04,2026-04-04 01:00:00,4,4,2026-04-04 01:00:00,1.00,0.051570,-1.06%,2026-04-07,2026-04-07 00:55:00,0.046050,71.92,10.70%,5.4501,,4.8667,10.3169,0.0000,,,2916.88,2906.56,2906.56,2906.56,34567.22,是,中（改成20%）,弱（12%）,max_hold_time,数据缺失,5.0,5450.12,否,,,0.052590,1.98%,1.80%,0.053300,3.35%,1.80%,0.051330,-0.47%,3.94%,10.98%,10.98%,4.13%,,,0.9968,1.0325,0.9654,,,,
56,YBUSDT,30.2,11.2,13.2,0.853,"$4,065,487","$5,220,384",0.779,0.0000,2026-04-03 07:00,0.147300,2026-04-03,2026-04-03 08:00:00,5,4,2026-04-03 08:00:00,1.90,0.144100,-2.17%,2026-04-03,2026-04-03 11:55:00,0.128249,3.92,11.00%,5.4501,,4.8506,10.3007,0.0000,,,2997.57,2987.26,2987.26,2987.26,37554.48,否,中（改成20%）,中（保持20%）,take_profit,0.0000%,5.0,5450.12,否,,,0.146900,1.94%,5.14%,0.130300,-9.58%,16.31%,0.126600,,16.31%,22.14%,12.07%,3.89%,,11.0%,1.8994,2.0647,0.9199,,,,
57,JCTUSDT,49.1,11.2,10.9,1.019,"$4,561,056","$6,231,054",0.732,0.0000,2026-04-04 05:00,0.003127,2026-04-04,2026-04-04 06:00:00,5,4,2026-04-04 06:00:00,0.82,0.003109,-0.58%,2026-04-04,2026-04-04 06:35:00,0.002705,0.58,13.00%,6.0177,,5.2354,11.2531,0.0000,,,3911.50,3900.25,3900.25,3900.25,41454.73,是,强（2h内默认）,强（保持30%）,take_profit,数据缺失,5.0,6017.70,否,,,0.003027,-2.64%,13.44%,0.003802,22.29%,13.44%,0.003892,,13.44%,13.44%,13.44%,3.57%,,,0.8238,0.9365,0.8797,,,,
58,THETAUSDT,42.4,57.2,67.0,0.852,"$2,717,418","$3,692,327",0.736,0.0000,2026-04-04 05:00,0.164400,2026-04-04,2026-04-04 06:00:00,5,3,2026-04-04 06:00:00,1.55,0.166800,1.46%,2026-04-07,2026-04-07 05:55:00,0.158200,71.92,5.16%,6.7587,,6.4103,13.1690,0.0000,,,1742.36,1729.19,1729.19,1729.19,43183.93,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,5.0,6758.75,否,,,0.168400,0.96%,1.74%,0.161800,-3.00%,4.50%,0.156100,-6.41%,6.89%,8.15%,8.15%,4.32%,,,1.5536,1.6350,0.9502,,,,
59,TUSDT,85.3,207.5,127.3,1.630,"$1,296,777","$1,506,237",0.861,0.0000,2026-04-05 00:00,0.006459,2026-04-05,2026-04-05 01:00:00,4,4,2026-04-05 01:00:00,2.12,0.006393,-1.02%,2026-04-08,2026-04-08 00:55:00,0.006278,71.92,1.80%,7.2690,,7.1382,14.4072,0.0000,,,653.79,639.38,639.38,639.38,43823.31,否,中（改成20%）,弱（12%）,max_hold_time,-1.5167%,5.0,7268.96,否,,,0.006366,-0.42%,2.33%,0.006050,-5.37%,5.57%,0.006094,-4.68%,6.38%,6.48%,6.48%,1.30%,,,2.1172,2.3659,0.8949,,,,
60,1INCHUSDT,50.1,63.9,32.7,1.958,"$2,296,193","$2,618,202",0.877,0.0000,2026-04-05 00:00,0.088800,2026-04-05,2026-04-05 01:00:00,5,3,2026-04-05 01:00:00,2.04,0.088600,-0.23%,2026-04-08,2026-04-08 00:55:00,0.093300,71.92,-5.30%,7.2690,,7.6546,14.9235,0.0000,,,-1928.00,-1942.92,-1942.92,-1942.92,41880.38,否,中（改成20%）,弱（12%）,max_hold_time,-0.0490%,5.0,7268.96,否,,,0.088000,-0.68%,0.90%,0.086300,-2.60%,2.71%,0.089100,0.56%,2.93%,2.93%,2.93%,0.45%,,,2.0395,2.0750,0.9829,,,,
61,ORDERUSDT,130.6,123.2,83.3,1.478,"$904,699","$1,503,576",0.602,0.0000,2026-04-06 00:00,0.055070,2026-04-06,2026-04-06 01:00:00,5,2,2026-04-06 01:00:00,1.56,0.056450,2.51%,2026-04-08,2026-04-08 02:35:00,0.063788,49.58,-13.00%,7.3242,,8.2763,15.6004,0.0000,,,-4760.70,-4776.30,-4776.30,-4776.30,37104.08,是,中（改成20%）,弱（12%）,stop_loss,-3.0994%,5.0,7324.15,否,,,0.058150,3.01%,4.89%,0.057390,1.67%,4.89%,0.052940,-6.22%,6.94%,9.99%,9.99%,5.03%,,,1.5569,1.5465,1.0067,,,,
62,FUSDT,124.8,109.0,65.8,1.657,"$1,636,230","$3,102,394",0.527,0.0000,2026-04-07 00:00,0.005877,2026-04-07,2026-04-07 01:00:00,4,3,2026-04-07 01:00:00,1.81,0.005878,0.02%,2026-04-07,2026-04-07 05:10:00,0.005114,4.17,13.00%,8.2049,,7.1383,15.3432,0.0000,,,5333.22,5317.87,5317.87,5317.87,42421.96,是,强（保持30%）,强（保持30%）,take_profit,-0.6078%,5.0,8204.95,否,,,0.005241,-10.84%,11.40%,0.005105,-13.15%,14.26%,0.005234,,14.26%,14.26%,13.51%,0.85%,,13.0%,1.8082,2.1476,0.8420,,,,
63,MOODENGUSDT,65.3,22.5,29.7,0.758,"$2,692,773","$3,646,064",0.739,0.0000,2026-04-06 00:00,0.047520,2026-04-06,2026-04-06 01:00:00,4,3,2026-04-06 01:00:00,1.70,0.047710,0.40%,2026-04-09,2026-04-09 00:55:00,0.047990,71.92,-0.59%,9.2153,,9.2694,18.4848,0.0000,,,-270.41,-288.90,-288.90,-288.90,42133.06,否,中（改成20%）,弱（12%）,max_hold_time,-0.4499%,5.0,9215.34,否,,,0.048400,1.45%,1.19%,0.047260,-0.94%,2.14%,0.044990,-5.70%,6.35%,6.41%,6.41%,3.33%,,,1.7027,1.5484,1.0997,,,,
64,ANIMEUSDT,34.7,17.9,18.4,0.973,"$2,640,114","$2,940,982",0.898,0.0000,2026-04-07 00:00,0.004635,2026-04-07,2026-04-07 01:00:00,5,4,2026-04-07 01:00:00,0.60,0.004639,0.09%,2026-04-10,2026-04-10 00:55:00,0.004625,71.92,0.30%,9.2153,,9.1875,18.4029,0.0000,,,139.05,120.65,120.65,120.65,42253.71,否,中（改成20%）,弱（12%）,max_hold_time,-0.2799%,5.0,9215.34,否,,,0.004514,-2.69%,3.75%,0.004512,-2.74%,3.75%,0.004649,0.22%,4.31%,4.31%,4.31%,0.32%,,,0.5972,0.5501,1.0856,,,,
65,EDUUSDT,52.5,27.4,26.2,1.045,"$3,965,269","$4,816,025",0.823,0.0000,2026-04-08 05:00,0.056610,2026-04-08,2026-04-08 06:00:00,3,2,2026-04-08 06:00:00,1.89,0.053040,-6.31%,2026-04-08,2026-04-08 14:35:00,0.047206,8.58,11.00%,8.0602,,7.1736,15.2337,0.0000,,,4433.09,4417.86,4417.86,4417.86,46671.57,是,中（改成20%）,中（保持20%）,take_profit,0.0000%,5.0,8060.17,否,,,0.053270,0.43%,4.19%,0.045970,-13.33%,14.88%,0.045050,,18.40%,18.51%,11.37%,7.30%,,11.0%,1.8868,1.9223,0.9815,,,,
66,BANUSDT,32.4,11.3,14.8,0.763,"$7,577,619","$7,762,194",0.976,0.0000,2026-04-08 07:00,0.059480,2026-04-08,2026-04-08 08:00:00,3,4,2026-04-08 08:00:00,0.86,0.059170,-0.52%,2026-04-11,2026-04-11 07:55:00,0.059250,71.92,-0.14%,8.8996,,8.9116,17.8112,0.0000,,,-60.16,-77.97,-77.97,-77.97,46593.60,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,8899.57,否,,,0.057260,-3.23%,6.20%,0.056400,-4.68%,6.20%,0.055730,-5.81%,6.61%,8.52%,8.52%,0.66%,,,0.8608,0.8730,0.9860,,,,
67,OPENUSDT,51.4,74.3,68.9,1.078,"$5,168,784","$6,091,666",0.849,0.0000,2026-04-08 08:00,0.178800,2026-04-08,2026-04-08 09:00:00,4,3,2026-04-08 09:00:00,1.61,0.179300,0.28%,2026-04-08,2026-04-08 11:00:00,0.184300,2.0,-2.79%,8.8996,,9.1477,18.0473,0.0000,,,-1240.88,-1258.92,-1258.92,-1258.92,45334.67,否,中（推断20%）,中（保持20%）,early_stop_loss,0.0000%,5.0,8899.57,否,,,0.183100,2.12%,1.73%,0.178500,-0.45%,1.73%,0.179600,,2.29%,2.29%,1.73%,2.57%,,,1.6055,1.7435,0.9208,,,,
68,TOSHIUSDT,37.4,21.3,19.6,1.084,"$788,998","$1,069,051",0.738,0.0000,2026-04-08 08:00,0.000186,2026-04-08,2026-04-08 09:00:00,4,3,2026-04-08 09:00:00,2.40,0.000184,-0.86%,2026-04-11,2026-04-11 08:55:00,0.000177,71.92,3.91%,8.6604,,8.3217,16.9820,0.0000,,,1693.50,1676.52,1676.52,1676.52,47011.19,否,中（改成20%）,弱（12%）,max_hold_time,-0.0621%,5.0,8660.37,否,,,0.000184,0.16%,2.06%,0.000181,-1.85%,2.82%,0.000176,-4.35%,5.65%,5.65%,5.65%,5.05%,,,2.3979,2.5881,0.9265,,,,
69,我踏马来了USDT,52.7,38.8,22.3,1.736,"$4,108,520","$4,484,662",0.916,0.0000,2026-04-08 09:00,0.008906,2026-04-08,2026-04-08 10:00:00,5,4,2026-04-08 10:00:00,2.84,0.008889,-0.19%,2026-04-08,2026-04-08 13:20:00,0.007911,3.33,11.00%,8.6604,,7.7077,16.3681,0.0000,,,4763.20,4746.84,4746.84,4746.84,51758.03,否,中（改成20%）,中（保持20%）,take_profit,0.0000%,5.0,8660.37,否,,,0.008804,-0.96%,4.38%,0.008087,-9.02%,11.56%,0.007789,,13.81%,15.61%,11.56%,2.09%,,11.0%,2.8388,3.1806,0.8925,,,,
70,ENJUSDT,66.7,97.7,78.2,1.249,"$11,238,760","$11,619,802",0.967,0.0000,2026-04-08 23:00,0.026900,2026-04-09,2026-04-09 00:00:00,4,3,2026-04-09 00:00:00,0.85,0.026790,-0.41%,2026-04-09,2026-04-09 02:40:00,0.030273,2.67,-13.00%,9.5074,,10.7433,20.2507,0.0000,,,-6179.80,-6200.05,-6200.05,-6200.05,45557.98,是,中（改成20%）,中（保持20%）,stop_loss,-1.5605%,5.0,9507.38,否,,,0.026180,-2.28%,6.08%,0.029560,10.34%,6.08%,0.029350,,6.08%,6.08%,6.08%,3.40%,,,0.8543,0.8854,0.9649,,,,
71,INUSDT,53.0,144.5,114.1,1.266,"$1,414,617","$2,072,749",0.682,0.0000,2026-04-09 00:00,0.065560,2026-04-09,2026-04-09 01:00:00,4,3,2026-04-09 01:00:00,1.82,0.066200,0.98%,2026-04-10,2026-04-10 00:15:00,0.059580,23.25,10.00%,8.3294,,7.4964,15.8258,0.0000,,,4164.68,4148.86,4148.86,4148.86,49706.84,否,中（改成20%）,弱（12%）,take_profit,-1.7039%,5.0,8329.37,否,,,0.066040,-0.24%,3.40%,0.061470,-7.15%,7.75%,0.059350,,10.97%,12.99%,10.97%,0.94%,,10.0%,1.8153,2.0230,0.8973,,,,
72,FARTCOINUSDT,46.2,3.5,4.3,0.800,"$41,327,630","$30,139,452",1.371,0.0000,2026-04-08 23:00,0.204000,2026-04-09,2026-04-09 00:00:00,5,4,2026-04-09 00:00:00,1.81,0.202700,-0.64%,2026-04-09,2026-04-09 05:55:00,0.176349,5.92,13.00%,8.3294,,7.2466,15.5759,0.0000,,,5414.09,5398.51,5398.51,5398.51,55105.35,否,强（保持30%）,强（保持30%）,take_profit,-0.1444%,5.0,8329.37,否,,,0.187000,-7.75%,12.53%,0.178500,-11.94%,14.95%,0.174800,,15.15%,15.15%,14.16%,3.31%,,13.0%,1.8058,1.5265,1.1830,,,,
73,NXPCUSDT,33.9,80.8,41.4,1.951,"$5,011,723","$5,158,917",0.971,0.0000,2026-04-09 00:00,0.287100,2026-04-09,2026-04-09 01:00:00,5,4,2026-04-09 01:00:00,0.98,0.286400,-0.24%,2026-04-12,2026-04-12 00:55:00,0.287700,71.92,-0.45%,9.3551,,9.3976,18.7526,0.0000,,,-212.32,-231.07,-231.07,-231.07,54874.28,否,中（改成20%）,弱（12%）,max_hold_time,-0.0223%,5.0,9355.09,否,,,0.288300,0.66%,0.35%,0.285400,-0.35%,0.80%,0.286100,-0.10%,0.80%,0.80%,0.80%,1.40%,,,0.9786,1.0568,0.9260,,,,
74,MINAUSDT,57.5,58.4,86.5,0.675,"$2,222,095","$3,335,639",0.666,0.0000,2026-04-10 00:00,0.059400,2026-04-10,2026-04-10 01:00:00,4,4,2026-04-10 01:00:00,1.30,0.059230,-0.29%,2026-04-13,2026-04-13 00:55:00,0.056300,71.92,4.95%,10.1663,,9.6634,19.8297,0.0000,,,2514.54,2494.71,2494.71,2494.71,57368.99,否,中（改成20%）,弱（12%）,max_hold_time,-1.3103%,5.0,10166.29,否,,,0.059940,1.20%,1.10%,0.057920,-2.21%,3.06%,0.057080,-3.63%,4.61%,6.31%,6.31%,3.56%,,,1.3026,1.3073,0.9964,,,,
75,NEOUSDT,64.8,109.2,108.7,1.004,"$4,129,256","$5,071,946",0.814,0.0000,2026-04-10 03:00,2.867000,2026-04-10,2026-04-10 04:00:00,5,3,2026-04-10 04:00:00,1.44,2.868000,0.03%,2026-04-13,2026-04-13 03:55:00,2.702000,71.92,5.79%,10.1663,,9.5779,19.7442,0.0000,,,2942.13,2922.38,2922.38,2922.38,60291.37,否,中（改成20%）,弱（12%）,max_hold_time,-0.3961%,5.0,10166.29,否,,,2.858000,-0.35%,0.87%,2.925000,1.99%,1.46%,2.835000,-1.15%,1.46%,6.45%,6.45%,1.85%,,,1.4438,1.6406,0.8800,,,,
76,CKBUSDT,224.3,392.5,743.9,0.528,"$1,355,459","$2,281,077",0.594,0.0000,2026-04-11 00:00,0.001529,2026-04-11,2026-04-11 01:00:00,4,3,2026-04-11 01:00:00,1.99,0.001521,-0.52%,2026-04-14,2026-04-14 00:55:00,0.001502,71.92,1.25%,10.4700,,10.3392,20.8092,0.0000,,,653.95,633.14,633.14,633.14,60924.51,是,中（改成20%）,弱（12%）,max_hold_time,-0.4914%,5.0,10470.02,否,,,0.001508,-0.85%,2.10%,0.001464,-3.75%,4.34%,0.001474,-3.09%,4.34%,5.85%,5.85%,1.78%,,,1.9922,2.4783,0.8039,,,,
77,FUSDT,31.9,72.8,47.8,1.523,"$1,941,029","$2,080,439",0.933,0.0000,2026-04-11 00:00,0.005268,2026-04-11,2026-04-11 01:00:00,5,2,2026-04-11 01:00:00,1.57,0.005263,-0.09%,2026-04-14,2026-04-14 00:55:00,0.005422,71.92,-3.02%,10.4700,,10.7863,21.2563,0.0000,,,-1581.54,-1602.80,-1602.80,-1602.80,59321.71,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,5.0,10470.02,否,,,0.005322,1.12%,0.21%,0.005316,1.01%,0.21%,0.005297,0.65%,0.21%,2.93%,2.93%,1.16%,,,1.5654,1.4975,1.0453,,,,
78,ANKRUSDT,36.7,51.9,84.3,0.616,"$2,741,691","$2,991,380",0.917,0.0000,2026-04-12 00:00,0.005230,2026-04-12,2026-04-12 01:00:00,5,4,2026-04-12 01:00:00,0.69,0.005238,0.15%,2026-04-15,2026-04-15 00:55:00,0.005058,71.92,3.44%,10.4261,,10.0678,20.4939,0.0000,,,1791.43,1770.93,1770.93,1770.93,61092.65,否,中（改成20%）,弱（12%）,max_hold_time,-0.6835%,5.0,10426.11,否,,,0.005196,-0.80%,1.95%,0.005186,-0.99%,1.95%,0.005077,-3.07%,5.25%,5.25%,5.25%,0.71%,,,0.6938,0.7132,0.9728,,,,
79,IMXUSDT,48.1,38.1,15.4,2.469,"$2,962,184","$3,340,519",0.887,0.0000,2026-04-13 00:00,0.139900,2026-04-13,2026-04-13 01:00:00,4,3,2026-04-13 01:00:00,1.70,0.139500,-0.29%,2026-04-15,2026-04-15 17:25:00,0.157635,64.42,-13.00%,11.4554,,12.9446,24.3999,0.0000,,,-7445.98,-7470.38,-7470.38,-7470.38,53622.26,否,中（改成20%）,弱（12%）,stop_loss,-0.1710%,5.0,11455.36,否,,,0.140500,0.72%,0.57%,0.143200,2.65%,0.57%,0.148400,6.38%,0.57%,0.57%,0.57%,0.93%,,,1.6976,1.7624,0.9632,,,,
80,STABLEUSDT,55.4,53.0,52.7,1.007,"$7,005,380","$9,836,460",0.712,0.0000,2026-04-13 02:00,0.030810,2026-04-13,2026-04-13 03:00:00,5,4,2026-04-13 03:00:00,0.60,0.028630,-7.08%,2026-04-13,2026-04-13 16:00:00,0.025481,13.0,11.00%,11.4554,,10.1953,21.6506,0.0000,,,6300.45,6278.80,6278.80,6278.80,59901.06,是,中（改成20%）,弱（12%）,take_profit,0.0000%,5.0,11455.36,否,,,0.028180,-1.57%,8.07%,0.027020,-5.62%,9.47%,0.026940,,12.64%,12.64%,12.64%,7.79%,,11.0%,0.6033,0.6116,0.9864,,,,
